"rok","odvetvi","prumerna_mzda","potravina","prumerna_cena"
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Mléko polotučné pasterované,14.437840000000001
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Mrkev,14.409266666666586
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Papriky,35.31015999999994
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Pečivo pšeničné bílé,38.59642666666675
2006,Peněžnictví a pojišťovnictví,39353.250000000000,"Pivo výčepní, světlé, lahvové",8.44961333333341
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Pomeranče,24.73317333333324
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Přírodní minerální voda uhličitá,7.687919999999998
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Pšeničná mouka hladká,7.407573333333344
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Rajská jablka červená kulatá,57.82961333333341
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Rostlinný roztíratelný tuk,69.45211999999955
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Rýže loupaná dlouhozrnná,21.28966666666671
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Šunkový salám,116.77441333333306
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Těstoviny vaječné,26.095533333333094
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Vejce slepičí čerstvá,23.494840000000263
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Vepřová pečeně s kostí,105.17778666666561
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Banány žluté,27.304639999999928
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Cukr krystalový,21.726613333333294
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Eidamská cihla,110.94665333333286
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Hovězí maso zadní bez kosti,166.33739999999742
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Chléb konzumní kmínový,16.123639999999927
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Jablka konzumní,30.71454666666644
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Jogurt bílý netučný,5.829359999999944
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Kapr živý,69.34977777777769
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Konzumní brambory,12.074919999999999
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Kuřata kuchaná celá,47.47376000000005
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Máslo,104.38782666666697
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Mléko polotučné pasterované,14.437840000000019
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Mrkev,14.409266666666614
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Papriky,35.310159999999954
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Pečivo pšeničné bílé,38.596426666666794
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,"Pivo výčepní, světlé, lahvové",8.449613333333417
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Pomeranče,24.73317333333321
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Přírodní minerální voda uhličitá,7.687920000000006
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Pšeničná mouka hladká,7.407573333333316
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Rajská jablka červená kulatá,57.8296133333334
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Rostlinný roztíratelný tuk,69.45211999999952
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Rýže loupaná dlouhozrnná,21.28966666666677
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Šunkový salám,116.77441333333307
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Těstoviny vaječné,26.095533333333027
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Vejce slepičí čerstvá,23.49484000000021
2006,"Profesní, vědecké a technické činnosti",23105.750000000000,Vepřová pečeně s kostí,105.17778666666592
2006,Stavebnictví,17643.750000000000,Banány žluté,27.304639999999914
2006,Stavebnictví,17643.750000000000,Cukr krystalový,21.72661333333329
2006,Stavebnictví,17643.750000000000,Eidamská cihla,110.94665333333303
2006,Stavebnictví,17643.750000000000,Hovězí maso zadní bez kosti,166.3373999999973
2006,Stavebnictví,17643.750000000000,Chléb konzumní kmínový,16.123639999999938
2006,Stavebnictví,17643.750000000000,Jablka konzumní,30.714546666666433
2006,Stavebnictví,17643.750000000000,Jogurt bílý netučný,5.829359999999924
2006,Stavebnictví,17643.750000000000,Kapr živý,69.34977777777769
2006,Stavebnictví,17643.750000000000,Konzumní brambory,12.074919999999972
2006,Stavebnictví,17643.750000000000,Kuřata kuchaná celá,47.47375999999996
2006,Stavebnictví,17643.750000000000,Máslo,104.38782666666695
2006,Stavebnictví,17643.750000000000,Mléko polotučné pasterované,14.437840000000016
2006,Stavebnictví,17643.750000000000,Mrkev,14.409266666666609
2006,Stavebnictví,17643.750000000000,Papriky,35.310159999999925
2006,Stavebnictví,17643.750000000000,Pečivo pšeničné bílé,38.59642666666668
2006,Stavebnictví,17643.750000000000,"Pivo výčepní, světlé, lahvové",8.449613333333406
2006,Stavebnictví,17643.750000000000,Pomeranče,24.73317333333326
2006,Stavebnictví,17643.750000000000,Přírodní minerální voda uhličitá,7.687920000000001
2006,Stavebnictví,17643.750000000000,Pšeničná mouka hladká,7.40757333333335
2006,Stavebnictví,17643.750000000000,Rajská jablka červená kulatá,57.82961333333335
2006,Stavebnictví,17643.750000000000,Rostlinný roztíratelný tuk,69.45211999999947
2006,Stavebnictví,17643.750000000000,Rýže loupaná dlouhozrnná,21.289666666666722
2006,Stavebnictví,17643.750000000000,Šunkový salám,116.77441333333296
2006,Stavebnictví,17643.750000000000,Těstoviny vaječné,26.095533333333123
2006,Stavebnictví,17643.750000000000,Vejce slepičí čerstvá,23.494840000000316
2006,Stavebnictví,17643.750000000000,Vepřová pečeně s kostí,105.17778666666565
2006,Těžba a dobývání,24017.500000000000,Banány žluté,27.304639999999907
2006,Těžba a dobývání,24017.500000000000,Cukr krystalový,21.72661333333328
2006,Těžba a dobývání,24017.500000000000,Eidamská cihla,110.946653333333
2006,Těžba a dobývání,24017.500000000000,Hovězí maso zadní bez kosti,166.33739999999742
